Title,Price,Link,Image,Availability,ID,Brand,Model,CPU Brand,CPU Model,CPU Cores,CPU Frequency,CPU Cache,RAM Size,RAM Type,Storage Size,Storage Type,Storage Unit,GPU Brand,GPU Model,GPU Memory,Wi-Fi,Bluetooth,Keyboard,Ports,Screen Type,Screen Size,Screen Resolution,Screen Refresh Rate
PC Portable Gamer ASUS Vivobook 16X i5 12è Gén 8G RTX2050,"2 179,000 DT",https://www.mytek.tn/pc-portable-gamer-asus-vivobook-16x-i5-12e-gen-8g-rtx2050.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-gamer-asus-vivobook-16x-i5-12e-gen-8g-rtx2050.jpg,En stock,[BU-S3605ZF-RP770-W11P],asus,réservi up to 6 mois sans intérêt retrait en magasin ou livraison gratuite,Intel,i5-12500h,Unknown,4.50,18,8,ddr4,512,ssd,gb,nvidia,rtx 2050,4,Unknown,Unknown,clavier chiclet rétroéclairé avec touche numérique,"1x usb 3.2 gen 1 type-c, 2x usb 3.2 gen 1 type-a, 1x hdmi 2.1 tmds, 1x prise audio combinée 3,5 mm, 1x entrée cc et lecteur de cartes sd 4.0 ",ips,16,Unknown,144
PC Portable Gamer ASUS Vivobook 16X i5 12è Gén 24G RTX 2050,"2 195,000 DT",https://www.mytek.tn/pc-portable-gamer-asus-vivobook-16x-i5-12e-gen-24g-rtx-2050.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-gamer-asus-vivobook-16x-i5-12e-gen-24g-rtx-2050.jpg,En stock,[S3605ZF-RP770-24G],asus,réservi up to 6 mois sans intérêt retrait en magasin ou livraison gratuite,Intel,i5-12500h,Unknown,4.50,18,24,ddr4,512,ssd,gb,nvidia,rtx 2050,4,Unknown,Unknown,clavier chiclet rétroéclairé avec touche numérique,"1x usb 3.2 gen 1 type-c, 2x usb 3.2 gen 1 type-a, 1x hdmi 2.1 tmds, 1x prise audio combinée 3,5 mm, 1x entrée cc et lecteur de cartes sd 4.0 ",ips,16,Unknown,144
PC Portable Gamer ASUS TUF Gaming A15 AMD RYZEN5 16Go RTX2050,"2 209,000 DT",https://www.mytek.tn/pc-portable-gamer-asus-tuf-gaming-a15-amd-ryzen5-16go-rtx2050.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-gamer-asus-tuf-gaming-a15-amd-ryzen5-16go-rtx2050.jpg,En stock,[BU-FA506NF-HN004-16G-W11P],Unknown,Unknown,AMD,ryzen 5 7535 hs,6,4.55,16,16,ddr5,512,ssd,gb,nvidia,rtx 2050,4,Unknown,Unknown,clavier chiclet rétroéclairé 1,"3x usb 3.2 gen 1 type-a, 1x usb 3.2 gen 2 type-c, 1x hdmi 2.1, 1x rj45, 1x prise audio combinée 3,5 mm ",ips,15.6,fhd,144
PC Portable Gamer HP Victus 15-fa1007nk i5 13è Gén 8Go RTX 2050,"2 149,000 DT",https://www.mytek.tn/pc-portable-gamer-hp-victus-15-fa1007nk-i5-13e-gen-8go-rtx-2050.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc_portable_gamer_hp_victus_15-fa1007nk_i5_13_g_n_8go_rtx_2050.jpg,En stock,[9U175EA],hp,victus 15-fa1007 nk ,Intel,i5-13420h,8,4.60,12,8,ddr4,512,ssd,gb,nvidia,rtx 2050,4,Unknown,Unknown,"clavier rétroéclairé, de grande taille avec clavier numérique","2x usb type-a, 1x usb type-c, 1x hdmi 2.1, 1x rj-45, 1 prise secteur smart pin, 1 prise combinée casque microphone ",ips,15.6 ,fhd,Unknown
PC Portable Gamer HP Victus 15-fa1006nk i5 13è Gén 8Go RTX 2050,"2 149,000 DT",https://www.mytek.tn/pc-portable-gamer-hp-victus-15-fa1006nk-i5-13e-gen-8go-rtx-2050.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-gamer-hp-victus-15-fa1006nk-i5-13e-gen-8go-rtx-2050.jpg,En stock,[9U1B9EA],hp,victus 15-fa1006 nk ,Intel,i5-13420h,8,4.60,12,8,ddr4,512,ssd,gb,nvidia,rtx 2050,4,Unknown,Unknown,"clavier rétroéclairé, de grande taille avec clavier numérique","2x usb type-a, 1x usb type-c, 1x hdmi 2.1, 1x rj-45, 1x prise secteur smart pin, 1x prise combinée casque microphone ",ips,15.6 ,fhd,Unknown
PC Portable Gamer ASUS TUF Gaming A15 AMD RYZEN 5 8G RTX 3050,"2 219,000 DT",https://www.mytek.tn/pc-portable-gamer-asus-tuf-gaming-a15-amd-ryzen-5-8g-rtx-3050.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-gamer-asus-tuf-gaming-a15-amd-ryzen-5-8g-rtx-3050-7.jpg,En stock,[FA506NC-HN006],Unknown,Unknown,AMD,ryzen 5 7535 hs,6,4.55,16,8,ddr5,512,ssd,gb,nvidia,rtx 3050,4,Unknown,Unknown,clavier chiclet rétroéclairé 1 zone rgb,"3x usb 3.2 gen 1 type-a, 1x usb 3.2 gen 2 type-c, 1x hdmi 2.1 tmds, 1x rj45, 1x prise audio combinée 3,5 mm ",ips,15.6,fhd,144
PC Portable Gamer ASUS TUF Gaming A15 AMD RYZEN 5 8G RTX3050,"2 219,000 DT",https://www.mytek.tn/pc-portable-gamer-asus-tuf-gaming-a15-amd-ryzen-5-8g-rtx3050.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-gamer-asus-tuf-gaming-a15-amd-ryzen-5-8g-rtx3050.jpg,En stock,[BU-FA506NC-HN006-K],Unknown,Unknown,AMD,ryzen 5 7535 hs,6,4.55,16,8,ddr5,512,ssd,gb,nvidia,rtx 3050,4,Unknown,Unknown,clavier chiclet rétroéclairé 1 zone rgb,"3x usb 3.2 gen 1 type-a, 1x usb 3.2 gen 2 type-c, 1x hdmi 2.1 tmds, 1x rj45, 1x prise audio combinée 3,5 mm ",ips,15.6,fhd,144
PC Portable Gamer ASUS Vivobook 16X i5 12è Gén 16G RTX2050,"2 225,000 DT",https://www.mytek.tn/pc-portable-gamer-asus-vivobook-16x-i5-12e-gen-16g-rtx2050.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-gamer-asus-vivobook-16x-i5-12e-gen-16g-rtx2050.jpg,En stock,[BU-S3605ZF-RP770-16G-W11P],asus,réservi up to 6 mois sans intérêt retrait en magasin ou livraison gratuite,Intel,i5-12500h,Unknown,4.50,18,16,ddr4,512,ssd,gb,nvidia,rtx 2050,4,Unknown,Unknown,clavier chiclet rétroéclairé avec touche numérique,"1x usb 3.2 gen 1 type-c, 2x usb 3.2 gen 1 type-a, 1x hdmi 2.1 tmds, 1x prise audio combinée 3,5 mm, 1x entrée cc et lecteur de cartes sd 4.0 ",ips,16,Unknown,144
PC Portable Gamer HP Victus 15-fb2000nk AMD RYZEN 5 32Go RTX 2050,"2 225,000 DT",https://www.mytek.tn/pc-portable-gamer-hp-victus-15-fb2000nk-amd-ryzen-5-32go-rtx-2050.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-gamer-hp-victus-15-fb2000nk-amd-ryzen-5-32go-rtx-2050.jpg,En stock,[B55C4EA-32G],hp,victus 15-fb2000 nk ,AMD,ryzen 5 8645 hs,6,5,16,32,ddr5,512,ssd,gb,nvidia,rtx 2050,4,Unknown,Unknown,"clavier rétroéclairé, de grande taille avec clavier numérique","2x usb type-a, 1x usb type-c, 1x hdmi 2.1, 1x rj-45, 1x prise adaptateur secteur smart pin, 1x prise combinée casque microphone ",ips,15.6 ,fhd,Unknown
PC Portable Gamer ASUS Vivobook 16X i5 12è Gén 24G RTX2050,"2 255,000 DT",https://www.mytek.tn/pc-portable-gamer-asus-vivobook-16x-i5-12e-gen-24g-rtx2050.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-gamer-asus-vivobook-16x-i5-12e-gen-24g-rtx2050.jpg,En stock,[BU-S3605ZF-RP770-24G-W11P],asus,réservi up to 6 mois sans intérêt retrait en magasin ou livraison gratuite,Intel,i5-12500h,Unknown,4.50,18,24,ddr4,512,ssd,gb,nvidia,rtx 2050,4,Unknown,Unknown,clavier chiclet rétroéclairé avec touche numérique,"1x usb 3.2 gen 1 type-c, 2x usb 3.2 gen 1 type-a, 1x hdmi 2.1 tmds, 1x prise audio combinée 3,5 mm, 1x entrée cc et lecteur de cartes sd 4.0 ",ips,16,Unknown,144
PC Portable Gamer HP Victus 15-fa1007nk i5 13è Gén 16Go RTX 2050,"2 195,000 DT",https://www.mytek.tn/pc-portable-gamer-hp-victus-15-fa1007nk-i5-13e-gen-16go-rtx-2050.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc_portable_gamer_hp_victus_15-fa1007nk_i5_13_g_n_16go_rtx_2050.jpg,En stock,[9U175EA-16G],hp,victus 15-fa1007 nk ,Intel,i5-13420h,8,4.60,12,16,ddr4,512,ssd,gb,nvidia,rtx 2050,4,Unknown,Unknown,"clavier rétroéclairé, de grande taille avec clavier numérique","2x usb type-a, 1x usb type-c, 1x hdmi 2.1, 1x rj-45, 1 prise secteur smart pin, 1 prise combinée casque microphone ",ips,15.6 ,fhd,Unknown
PC Portable Gamer ASUS TUF Gaming A15 AMD RYZEN5 32Go RTX 2050,"2 259,000 DT",https://www.mytek.tn/pc-portable-gamer-asus-tuf-gaming-a15-amd-ryzen5-32go-rtx-2050.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-gamer-asus-tuf-gaming-a15-amd-ryzen5-32go-rtx-2050.jpg,En stock,[FA506NF-HN004-32G],Unknown,Unknown,AMD,ryzen 5 7535 hs,6,4.55,16,32,ddr5,512,ssd,gb,nvidia,rtx 2050,4,Unknown,Unknown,clavier chiclet rétroéclairé 1,"3x usb 3.2 gen 1 type-a, 1x usb 3.2 gen 2 type-c, 1x hdmi 2.1, 1x rj45, 1x prise audio combinée 3,5 mm ",ips,15.6,fhd,144
